index,binder_name,page_number,slot_number,card_name,card_id,set_id,set_name,card_number,card_market_value
2-1-1,2,1,1,Alakazam,base4-1,base4,Base Set 2,1,37.01
2-1-2,2,1,2,Blastoise,base4-2,base4,Base Set 2,2,107.85
2-1-3,2,1,3,Chansey,base4-3,base4,Base Set 2,3,14.71
2-1-4,2,1,4,Charizard,base4-4,base4,Base Set 2,4,304.88
2-1-5,2,1,5,Clefable,base4-5,base4,Base Set 2,5,13.97
2-1-6,2,1,6,Clefairy,base4-6,base4,Base Set 2,6,10.79
2-1-7,2,1,7,Gyarados,base4-7,base4,Base Set 2,7,26.94
2-1-8,2,1,8,Hitmonchan,base4-8,base4,Base Set 2,8,21.21
2-1-9,2,1,9,Magneton,base4-9,base4,Base Set 2,9,12.14
2-2-1,2,2,1,Mewtwo,base4-10,base4,Base Set 2,10,40.96
2-2-2,2,2,2,Nidoking,base4-11,base4,Base Set 2,11,24.14
2-2-3,2,2,3,Nidoqueen,base4-12,base4,Base Set 2,12,23.02
2-2-4,2,2,4,Ninetales,base4-13,base4,Base Set 2,13,21.49
2-2-5,2,2,5,Pidgeot,base4-14,base4,Base Set 2,14,27.41
2-2-6,2,2,6,Poliwrath,base4-15,base4,Base Set 2,15,13.35
2-2-7,2,2,7,Raichu,base4-16,base4,Base Set 2,16,33.18
2-2-8,2,2,8,Scyther,base4-17,base4,Base Set 2,17,24.6
2-2-9,2,2,9,Venusaur,base4-18,base4,Base Set 2,18,73.77
2-3-1,2,3,1,Wigglytuff,base4-19,base4,Base Set 2,19,11.0
2-3-2,2,3,2,Zapdos,base4-20,base4,Base Set 2,20,24.31
2-3-3,2,3,3,Beedrill,base4-21,base4,Base Set 2,21,1.96
2-3-4,2,3,4,Dragonair,base4-22,base4,Base Set 2,22,8.58
2-3-5,2,3,5,Dugtrio,base4-23,base4,Base Set 2,23,3.3
2-3-6,2,3,6,Electabuzz,base4-24,base4,Base Set 2,24,3.17
2-3-7,2,3,7,Electrode,base4-25,base4,Base Set 2,25,3.87
2-3-8,2,3,8,Kangaskhan,base4-26,base4,Base Set 2,26,3.15
2-3-9,2,3,9,Mr. Mime,base4-27,base4,Base Set 2,27,6.03
2-4-1,2,4,1,Pidgeotto,base4-28,base4,Base Set 2,28,3.72
2-4-2,2,4,2,Pinsir,base4-29,base4,Base Set 2,29,3.35
2-4-3,2,4,3,Snorlax,base4-30,base4,Base Set 2,30,9.34
2-4-4,2,4,4,Venomoth,base4-31,base4,Base Set 2,31,3.31
2-4-5,2,4,5,Victreebel,base4-32,base4,Base Set 2,32,2.8
2-4-6,2,4,6,Arcanine,base4-33,base4,Base Set 2,33,2.1
2-4-7,2,4,7,Butterfree,base4-34,base4,Base Set 2,34,1.58
2-4-8,2,4,8,Charmeleon,base4-35,base4,Base Set 2,35,1.73
2-4-9,2,4,9,Dewgong,base4-36,base4,Base Set 2,36,1.23
2-5-1,2,5,1,Dodrio,base4-37,base4,Base Set 2,37,1.8
2-5-2,2,5,2,Dratini,base4-38,base4,Base Set 2,38,0.99
2-5-3,2,5,3,Exeggutor,base4-39,base4,Base Set 2,39,1.18
2-5-4,2,5,4,Farfetch'd,base4-40,base4,Base Set 2,40,0.5
2-5-5,2,5,5,Fearow,base4-41,base4,Base Set 2,41,1.32
2-5-6,2,5,6,Growlithe,base4-42,base4,Base Set 2,42,1.21
2-5-7,2,5,7,Haunter,base4-43,base4,Base Set 2,43,0.84
2-5-8,2,5,8,Ivysaur,base4-44,base4,Base Set 2,44,3.6
2-5-9,2,5,9,Jynx,base4-45,base4,Base Set 2,45,0.6
2-6-1,2,6,1,Kadabra,base4-46,base4,Base Set 2,46,1.24
2-6-2,2,6,2,Kakuna,base4-47,base4,Base Set 2,47,0.71
2-6-3,2,6,3,Lickitung,base4-48,base4,Base Set 2,48,1.3
2-6-4,2,6,4,Machoke,base4-49,base4,Base Set 2,49,0.54
2-6-5,2,6,5,Magikarp,base4-50,base4,Base Set 2,50,0.9
2-6-6,2,6,6,Magmar,base4-51,base4,Base Set 2,51,1.08
2-6-7,2,6,7,Marowak,base4-52,base4,Base Set 2,52,1.87
2-6-8,2,6,8,Nidorina,base4-53,base4,Base Set 2,53,0.62
2-6-9,2,6,9,Nidorino,base4-54,base4,Base Set 2,54,1.55
2-7-1,2,7,1,Parasect,base4-55,base4,Base Set 2,55,0.9
2-7-2,2,7,2,Persian,base4-56,base4,Base Set 2,56,1.7
2-7-3,2,7,3,Poliwhirl,base4-57,base4,Base Set 2,57,0.92
2-7-4,2,7,4,Raticate,base4-58,base4,Base Set 2,58,0.9
2-7-5,2,7,5,Rhydon,base4-59,base4,Base Set 2,59,1.8
2-7-6,2,7,6,Seaking,base4-60,base4,Base Set 2,60,0.59
2-7-7,2,7,7,Seel,base4-61,base4,Base Set 2,61,0.62
2-7-8,2,7,8,Tauros,base4-62,base4,Base Set 2,62,2.96
2-7-9,2,7,9,Wartortle,base4-63,base4,Base Set 2,63,1.74
2-8-1,2,8,1,Weepinbell,base4-64,base4,Base Set 2,64,1.21
2-8-2,2,8,2,Abra,base4-65,base4,Base Set 2,65,0.42
2-8-3,2,8,3,Bellsprout,base4-66,base4,Base Set 2,66,0.44
2-8-4,2,8,4,Bulbasaur,base4-67,base4,Base Set 2,67,2.24
2-8-5,2,8,5,Caterpie,base4-68,base4,Base Set 2,68,0.43
2-8-6,2,8,6,Charmander,base4-69,base4,Base Set 2,69,1.15
2-8-7,2,8,7,Cubone,base4-70,base4,Base Set 2,70,0.81
2-8-8,2,8,8,Diglett,base4-71,base4,Base Set 2,71,0.38
2-8-9,2,8,9,Doduo,base4-72,base4,Base Set 2,72,0.44
2-9-1,2,9,1,Drowzee,base4-73,base4,Base Set 2,73,0.44
2-9-2,2,9,2,Exeggcute,base4-74,base4,Base Set 2,74,0.5
2-9-3,2,9,3,Gastly,base4-75,base4,Base Set 2,75,0.47
2-9-4,2,9,4,Goldeen,base4-76,base4,Base Set 2,76,0.38
2-9-5,2,9,5,Jigglypuff,base4-77,base4,Base Set 2,77,0.74
2-9-6,2,9,6,Machop,base4-78,base4,Base Set 2,78,0.42
2-9-7,2,9,7,Magnemite,base4-79,base4,Base Set 2,79,0.39
2-9-8,2,9,8,Meowth,base4-80,base4,Base Set 2,80,0.55
2-9-9,2,9,9,Metapod,base4-81,base4,Base Set 2,81,0.43
2-10-1,2,10,1,Nidoran ♀,base4-82,base4,Base Set 2,82,0.47
2-10-2,2,10,2,Nidoran ♂,base4-83,base4,Base Set 2,83,0.59
2-10-3,2,10,3,Onix,base4-84,base4,Base Set 2,84,0.83
2-10-4,2,10,4,Paras,base4-85,base4,Base Set 2,85,0.38
2-10-5,2,10,5,Pidgey,base4-86,base4,Base Set 2,86,0.55
2-10-6,2,10,6,Pikachu,base4-87,base4,Base Set 2,87,2.15
2-10-7,2,10,7,Poliwag,base4-88,base4,Base Set 2,88,0.4
2-10-8,2,10,8,Rattata,base4-89,base4,Base Set 2,89,0.45
2-10-9,2,10,9,Rhyhorn,base4-90,base4,Base Set 2,90,0.46
